SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29
46514.8,67214.7,47263.5,34273.6,46051.7,75608.8,28317.7,34874.0,3070.0,36244.1,62952.7,64698.5,36299.2,58370.9,42505.4,45687.8,42656.7,46387.0,45924.1,39408.2,31077.3,46082.3,39882.8,45836.5,64132.8,45041.5,63911.7,36491.9,52526.8,4859.3,28492.2,0.0,41507.3,46357.4,58726.7,60563.8,14504.5,30771.6,14471.4,61615.6,48096.2,10537.2,45863.2,21534.9,58463.9,54990.5,23641.0,48108.1,51566.5,55793.5,31453.0
9459.4,25764.3,10208.1,49117.7,8996.3,34158.4,63739.5,29378.8,38200.7,17650.7,21502.3,23248.1,4970.4,16920.5,1100.4,8632.4,11513.1,9331.6,8868.7,31262.0,45921.4,9026.9,14151.0,8781.1,22682.4,3591.1,22461.3,5007.2,11076.4,39567.6,12747.2,41240.7,0.0,9302.0,17276.3,19113.4,29300.1,14387.5,33413.1,20165.2,11040.8,36606.4,8807.8,26709.9,17013.5,13540.1,38485.1,11052.7,10116.1,14343.1,15430.5
781.7,35213.9,1232.3,55362.4,1029.3,43608.0,69984.2,35623.5,44445.4,19256.5,30951.9,32697.7,11494.3,26370.1,10068.7,854.5,13118.9,355.8,1172.5,37506.7,52166.1,1084.0,15756.8,964.5,32132.0,13040.7,31910.9,11532.8,20526.0,45812.3,18991.9,47485.4,9506.5,0.0,26725.9,28563.0,35544.8,20632.2,39657.8,29614.8,2065.0,42851.1,1526.5,32954.6,26463.1,22989.7,44729.8,2076.9,19565.7,23792.7,21675.2
26418.0,15796.0,27166.7,66076.3,25954.9,24190.1,80698.1,46337.4,55159.3,34609.3,11534.0,13279.8,21929.0,6952.2,18059.0,25591.0,28471.7,26290.2,25827.3,48220.6,62880.0,25985.5,31109.6,25739.7,12714.1,16782.4,11168.8,21965.8,9658.2,56526.2,29705.8,58199.3,17022.1,26260.6,0.0,9145.1,46258.7,31346.1,50371.7,10196.9,27999.4,53565.0,25766.4,43668.5,7045.2,4252.0,55443.7,28011.3,18036.6,7825.3,32389.1
28250.0,6765.4,28998.7,67908.3,27786.9,15159.5,82530.1,48169.4,56991.3,36441.3,2503.4,4249.2,23761.0,4352.3,19891.0,27423.0,30303.7,28122.2,27659.3,50052.6,64712.0,27817.5,32941.6,27571.7,3638.0,18614.4,3462.4,23797.8,11490.2,58358.2,31537.8,60031.3,18854.1,28092.6,9141.0,0.0,48090.7,33178.1,52203.7,1166.3,29831.4,55397.0,27598.4,45500.5,4306.4,6084.0,57275.7,29843.3,19868.6,9657.3,34221.1
34654.5,55354.4,35403.2,22449.3,34191.4,63748.5,37071.1,23013.7,11532.3,24383.8,51092.4,52838.2,24438.9,46510.6,30645.1,33827.5,30796.4,34526.7,34063.8,27547.9,19253.0,34222.0,28022.5,33976.2,52272.5,33181.2,52051.4,24631.6,40666.5,12899.2,16631.9,14572.3,29647.0,34497.1,46866.4,48703.5,0.0,18911.3,5961.2,49755.3,36235.9,9938.0,34002.9,9674.6,46603.6,43130.2,11816.7,36247.8,39706.2,43933.2,19592.7
19370.1,40070.0,20118.8,38183.2,18907.0,48464.1,52805.0,18444.3,27266.2,9287.1,35808.0,37553.8,9154.5,31226.2,15360.7,18543.1,15512.0,19242.3,18779.4,20327.5,34986.9,18937.6,12925.8,18691.8,36988.1,17896.8,36767.0,9347.2,25382.1,28633.1,1812.7,30306.2,14362.6,19212.7,31582.0,33419.1,18365.6,0.0,22478.6,34470.9,20951.5,25671.9,18718.5,15775.4,31319.2,27845.8,27550.6,20963.4,24421.8,28648.8,4496.0
38914.9,59614.8,39663.6,26673.7,38451.8,68008.9,36276.1,27274.1,10737.3,28644.2,55352.8,57098.6,28699.3,50771.0,34905.5,38087.9,35056.8,38787.1,38324.2,31808.3,23477.4,38482.4,32282.9,38236.6,56532.9,37441.6,56311.8,28892.0,44926.9,12104.2,20892.3,13777.3,33907.4,38757.5,51126.8,52963.9,6297.9,23171.7,0.0,54015.7,40496.3,7725.6,38263.3,13935.0,50864.0,47390.6,16041.1,40508.2,43966.6,48193.6,23853.1
29308.9,5614.4,30057.6,68967.2,28845.8,14008.5,83589.0,49228.3,58050.2,37500.2,1352.4,3098.2,24819.9,5411.2,20949.9,28481.9,31362.6,29181.1,28718.2,51111.5,65770.9,28876.4,34000.5,28630.6,2948.6,19673.3,2296.1,24856.7,12549.1,59417.1,32596.7,61090.2,19913.0,29151.5,10199.9,1166.8,49149.6,34237.0,53262.6,0.0,30890.3,56455.9,28657.3,46559.4,5365.3,7142.9,58334.6,30902.2,20927.5,10716.2,35280.0
2648.1,36796.4,834.1,57094.6,2761.5,45190.5,71716.4,37355.7,46177.6,20988.7,32534.4,34280.2,13226.5,27952.6,11800.9,2586.7,14851.1,1871.3,2904.7,39238.9,53898.3,2816.2,17489.0,2696.7,33714.5,14772.9,33493.4,13265.0,22108.5,47544.5,20724.1,49217.6,11238.7,2072.7,28308.4,30145.5,37277.0,22364.4,41390.0,31197.3,0.0,44583.3,3258.7,34686.8,28045.6,24572.2,46462.0,254.3,21297.9,25375.2,23407.4
41889.4,62589.3,42638.1,29648.2,41426.3,70983.4,33038.5,30248.6,7499.7,31618.7,58327.3,60073.1,31673.8,53745.5,37880.0,41062.4,38031.3,41761.6,41298.7,34782.8,26451.9,41456.9,35257.4,41211.1,59507.4,40416.1,59286.3,31866.5,47901.4,8866.6,23866.8,10539.7,36881.9,41732.0,54101.3,55938.4,9879.1,26146.2,8420.6,56990.2,43470.8,0.0,41237.8,16909.5,53838.5,50365.1,19015.6,43482.7,46941.1,51168.1,26827.6
1686.0,34782.1,2434.7,54930.6,1474.0,43176.2,69552.4,35191.7,44013.6,18824.7,30520.1,32265.9,11062.5,25938.3,9636.9,859.0,12687.1,1558.2,1208.8,37074.9,51734.3,1295.9,15325.0,1007.7,31700.2,12608.9,31479.1,11101.0,20094.2,45380.5,18560.1,47053.6,9074.7,1528.6,26294.1,28131.2,35113.0,20200.4,39226.0,29183.0,3267.4,42419.3,0.0,32522.8,26031.3,22557.9,44298.0,3279.3,19133.9,23360.9,21243.4
31949.1,52649.0,32697.8,27809.7,31486.0,61043.1,44000.4,16694.5,18461.6,21678.4,48387.0,50132.8,21733.5,43805.2,27939.7,31122.1,28091.0,31821.3,31358.4,21228.7,24613.4,31516.6,25317.1,31270.8,49567.1,30475.8,49346.0,21926.2,37961.1,19828.5,13926.5,21501.6,26941.6,31791.7,44161.0,45998.1,9561.0,16205.9,13674.0,47049.9,33530.5,16867.3,31297.5,0.0,43898.2,40424.8,17177.1,33542.4,37000.8,41227.8,16887.3
26147.9,11155.9,26896.6,65806.2,25684.8,19550.0,80428.0,46067.3,54889.2,34339.2,6893.9,8639.7,21658.9,108.4,17788.9,25320.9,28201.6,26020.1,25557.2,47950.5,62609.9,25715.4,30839.5,25469.6,8074.0,16512.3,7852.9,21695.7,9388.1,56256.1,29435.7,57929.2,16752.0,25990.5,7038.9,4505.0,45988.6,31076.0,50101.6,5556.8,27729.3,53294.9,25496.3,43398.4,0.0,3981.9,55173.6,27741.2,17766.5,7007.0,32119.0
22676.5,12732.1,23425.2,62334.8,22213.4,21126.2,76956.6,42595.9,51417.8,30867.8,8470.1,10215.9,18187.5,3888.3,14317.5,21849.5,24730.2,22548.7,22085.8,44479.1,59138.5,22244.0,27368.1,21998.2,9650.2,13040.9,9429.1,18224.3,5916.7,52784.7,25964.3,54457.8,13280.6,22519.1,4244.1,6081.2,42517.2,27604.6,46630.2,7133.0,24257.9,49823.5,22024.9,39927.0,3981.3,0.0,51702.2,24269.8,14295.1,4083.8,28647.6
43760.9,64460.8,44509.6,10696.2,43297.8,72854.9,46151.1,32120.1,20612.3,33490.2,60198.8,61944.6,33545.3,55617.0,39751.5,42933.9,39902.8,43633.1,43170.2,36654.3,7499.9,43328.4,37128.9,43082.6,61378.9,42287.6,61157.8,33738.0,49772.9,21979.2,25738.3,23652.3,38753.4,43603.5,55972.8,57809.9,11750.6,28017.7,15824.7,58861.7,45342.3,19018.0,43109.3,17176.4,55710.0,52236.6,0.0,45354.2,48812.6,53039.6,28699.1
2656.3,36954.3,842.3,57102.8,2769.7,45348.4,71724.6,37363.9,46185.8,20996.9,32692.3,34438.1,13234.7,28110.5,11809.1,2594.9,14859.3,1879.5,2912.9,39247.1,53906.5,2824.4,17497.2,2704.9,33872.4,14781.1,33651.3,13273.2,22266.4,47552.7,20732.3,49225.8,11246.9,2080.9,28466.3,30303.4,37285.2,22372.6,41398.2,31355.2,255.4,44591.5,3266.9,34695.0,28203.5,24730.1,46470.2,0.0,21306.1,25533.1,23415.6
19506.9,26775.7,20255.6,59165.2,19043.8,35169.8,73787.0,39426.3,48248.2,27698.2,22513.7,24259.5,15017.9,17931.9,11147.9,18679.9,21560.6,19379.1,18916.2,41309.5,55968.9,19074.4,24198.5,18828.6,23693.8,7962.8,23472.7,15054.7,10560.7,49615.1,22794.7,51288.2,10111.0,19349.5,18287.7,20124.8,39347.6,24435.0,43460.6,21176.6,21088.3,46653.9,18855.3,36757.4,18024.9,14551.5,48532.6,21100.2,0.0,13967.0,25478.0
23455.7,16284.7,24204.4,63114.0,22992.6,24678.8,77735.8,43375.1,52197.0,31647.0,12022.7,13768.5,18966.7,6958.6,15096.7,22628.7,25509.4,23327.9,22865.0,45258.3,59917.7,23023.2,28147.3,22777.4,12051.2,13820.1,12981.7,19003.5,5049.7,53563.9,26743.5,55237.0,14059.8,23298.3,7796.7,9633.8,43296.4,28383.8,47409.4,10685.6,25037.1,50602.7,22804.1,40706.2,7051.6,4060.5,52481.4,25049.0,13974.8,0.0,29426.8
20707.5,41407.4,21456.2,39339.9,20244.4,49801.5,53961.7,18061.2,28422.9,5624.6,37145.4,38891.2,10491.9,32563.6,16698.1,19880.5,16849.4,20579.7,20116.8,19944.4,36143.6,20275.0,9263.3,20029.2,38325.5,19234.2,38104.4,10684.6,26719.5,29789.8,2969.4,31462.9,15700.0,20550.1,32919.4,34756.5,19522.3,4964.3,23635.3,35808.3,22288.9,26828.6,20055.9,16932.1,32656.6,29183.2,28707.3,22300.8,25759.2,29986.2,0.0
