SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29,DP30,DP31,DP32,DP33,DP34
18022.4,38722.5,18771.2,36370.5,17559.3,47116.6,50992.3,16631.6,25453.5,7751.9,34460.5,36206.3,7807.0,29878.7,14013.2,17195.4,14165.0,17894.6,17431.7,18514.8,33174.2,17589.9,11390.6,17344.1,35640.6,16549.3,35419.5,7999.7,24034.6,26820.4,0.0,28493.5,13015.1,17865.0,30234.5,32071.6,16552.9,2279.4,20665.9,33123.4,19603.9,23859.2,17370.8,13962.7,29971.7,26498.3,25737.9,19615.8,23074.3,27301.3,2960.8,19106.9,32049.3,21564.5,18132.0,45427.5
46514.6,67214.7,47263.4,34273.6,46051.5,75608.8,28317.7,34874.0,3070.0,36244.1,62952.7,64698.5,36299.2,58370.9,42505.4,45687.6,42657.2,46386.8,45923.9,39408.2,31077.3,46082.1,39882.8,45836.3,64132.8,45041.5,63911.7,36491.9,52526.8,4859.3,28492.2,0.0,41507.3,46357.2,58726.7,60563.8,14504.5,30771.6,14471.4,61615.6,48096.1,10537.2,45863.0,21534.9,58463.9,54990.5,23641.0,48108.0,51566.5,55793.5,31453.0,13007.8,60541.5,29136.7,46624.2,43330.6
9459.4,25764.3,10208.2,49117.7,8996.3,34158.4,63739.5,29378.8,38200.7,17650.4,21502.3,23248.1,4970.4,16920.5,1100.4,8632.4,11513.6,9331.6,8868.7,31262.0,45921.4,9026.9,14150.7,8781.1,22682.4,3591.1,22461.3,5007.2,11076.4,39567.6,12747.2,41240.7,0.0,9302.0,17276.3,19113.4,29300.1,14387.5,33413.1,20165.2,11040.9,36606.4,8807.8,26709.9,17013.5,13540.1,38485.1,11052.8,10116.1,14343.1,15430.5,31854.1,20885.1,34311.7,9569.0,58174.7
781.7,35213.9,1232.4,55362.4,1029.3,43608.0,69984.2,35623.5,44445.4,19256.2,30951.9,32697.7,11494.3,26370.1,10068.7,854.5,13119.4,355.8,1172.5,37506.7,52166.1,1084.0,15756.5,964.5,32132.0,13040.7,31910.9,11532.8,20526.0,45812.3,18991.9,47485.4,9506.5,0.0,26725.9,28563.0,35544.8,20632.2,39657.8,29614.8,2065.1,42851.1,1526.5,32954.6,26463.1,22989.7,44729.8,2077.0,19565.7,23792.7,21675.2,38098.8,14510.5,40556.4,593.2,64419.4
26418.0,15796.0,27166.8,66076.3,25954.9,24190.1,80698.1,46337.4,55159.3,34609.0,11534.0,13279.8,21929.0,6952.2,18059.0,25591.0,28472.2,26290.2,25827.3,48220.6,62880.0,25985.5,31109.3,25739.7,12714.1,16782.4,11168.8,21965.8,9658.2,56526.2,29705.8,58199.3,17022.1,26260.6,0.0,9145.1,46258.7,31346.1,50371.7,10196.9,27999.5,53565.0,25766.4,43668.5,7045.2,4252.0,55443.7,28011.4,18036.6,7825.3,32389.1,48812.7,20772.8,51270.3,26527.6,75133.3
28250.0,6765.4,28998.8,67908.3,27786.9,15159.5,82530.1,48169.4,56991.3,36441.0,2503.4,4249.2,23761.0,4352.3,19891.0,27423.0,30304.2,28122.2,27659.3,50052.6,64712.0,27817.5,32941.3,27571.7,3638.0,18614.4,3462.4,23797.8,11490.2,58358.2,31537.8,60031.3,18854.1,28092.6,9141.0,0.0,48090.7,33178.1,52203.7,1166.3,29831.5,55397.0,27598.4,45500.5,4306.4,6084.0,57275.7,29843.4,19868.6,9657.3,34221.1,50644.7,22604.8,53102.3,28359.6,76965.3
34654.3,55354.4,35403.1,22449.3,34191.2,63748.5,37071.1,23013.7,11532.3,24383.8,51092.4,52838.2,24438.9,46510.6,30645.1,33827.3,30796.9,34526.5,34063.6,27547.9,19253.0,34221.8,28022.5,33976.0,52272.5,33181.2,52051.4,24631.6,40666.5,12899.2,16631.9,14572.3,29647.0,34496.9,46866.4,48703.5,0.0,18911.3,5961.2,49755.3,36235.8,9938.0,34002.7,9674.6,46603.6,43130.2,11816.7,36247.7,39706.2,43933.2,19592.7,5185.7,48681.2,17276.4,34763.9,31506.3
19369.9,40070.0,20118.7,38183.2,18906.8,48464.1,52805.0,18444.3,27266.2,9287.1,35808.0,37553.8,9154.5,31226.2,15360.7,18542.9,15512.5,19242.1,18779.2,20327.5,34986.9,18937.4,12925.8,18691.6,36988.1,17896.8,36767.0,9347.2,25382.1,28633.1,1812.7,30306.2,14362.6,19212.5,31582.0,33419.1,18365.6,0.0,22478.6,34470.9,20951.4,25671.9,18718.3,15775.4,31319.2,27845.8,27550.6,20963.3,24421.8,28648.8,4496.0,20919.6,33396.8,23377.2,19479.5,47240.2
38914.7,59614.8,39663.5,26673.7,38451.6,68008.9,36276.1,27274.1,10737.3,28644.2,55352.8,57098.6,28699.3,50771.0,34905.5,38087.7,35057.3,38786.9,38324.0,31808.3,23477.4,38482.2,32282.9,38236.4,56532.9,37441.6,56311.8,28892.0,44926.9,12104.2,20892.3,13777.3,33907.4,38757.3,51126.8,52963.9,6297.9,23171.7,0.0,54015.7,40496.2,7725.6,38263.1,13935.0,50864.0,47390.6,16041.1,40508.1,43966.6,48193.6,23853.1,5889.5,52941.6,21536.8,39024.3,35730.7
29308.9,5614.4,30057.7,68967.2,28845.8,14008.5,83589.0,49228.3,58050.2,37499.9,1352.4,3098.2,24819.9,5411.2,20949.9,28481.9,31363.1,29181.1,28718.2,51111.5,65770.9,28876.4,34000.2,28630.6,2948.6,19673.3,2296.1,24856.7,12549.1,59417.1,32596.7,61090.2,19913.0,29151.5,10199.9,1166.8,49149.6,34237.0,53262.6,0.0,30890.4,56455.9,28657.3,46559.4,5365.3,7142.9,58334.6,30902.3,20927.5,10716.2,35280.0,51703.6,23663.7,54161.2,29418.5,78024.2
